1, 480, Note_on_c, 0, 55, 112
1, 576, Note_on_c, 0, 59, 112
1, 576, Note_on_c, 0, 72, 106
1, 576, Note_off_c, 0, 79, 64
1, 672, Note_off_c, 0, 55, 64
1, 768, Note_off_c, 0, 40, 64
1, 768, Note_on_c, 0, 41, 112
1, 768, Note_off_c, 0, 52, 64
1, 768, Note_on_c, 0, 53, 112
1, 768, Note_off_c, 0, 59, 64
1, 768, Note_off_c, 0, 72, 64
1, 768, Note_on_c, 0, 79, 106
1, 864, Note_on_c, 0, 57, 112
1, 960, Note_on_c, 0, 60, 112
1, 960, Note_on_c, 0, 72, 106
1, 960, Note_off_c, 0, 79, 64
1, 1056, Note_off_c, 0, 57, 64
1, 1151, Note_off_c, 0, 53, 64
1, 1152, Note_on_c, 0, 53, 112
1, 1152, Note_off_c, 0, 60, 64
1, 1152, Note_on_c, 0, 64, 106
1, 1152, Note_off_c, 0, 72, 64
1, 1152, Note_on_c, 0, 79, 106
1, 1248, Note_on_c, 0, 57, 112
1, 1344, Note_on_c, 0, 60, 112
1, 1344, Note_off_c, 0, 64, 64
1, 1344, Note_on_c, 0, 72, 106
1, 1344, Note_off_c, 0, 79, 64
1, 1440, Note_off_c, 0, 57, 64
1, 1536, Note_off_c, 0, 41, 64
1, 1536, Note_on_c, 0, 45, 112
1, 1536, Note_off_c, 0, 53, 64
1, 1536, Note_on_c, 0, 57, 112
1, 1536, Note_off_c, 0, 60, 64
1, 1536, Note_off_c, 0, 72, 64
1, 1536, Note_on_c, 0, 79, 106
1, 1632, Note_on_c, 0, 60, 112
1, 1728, Note_on_c, 0, 64, 112
1, 1728, Note_on_c, 0, 72, 106
1, 1728, Note_off_c, 0, 79, 64
1, 1824, Note_off_c, 0, 60, 64
1, 1920, Note_on_c, 0, 40, 112
1, 1920, Note_off_c, 0, 45, 64
1, 1920, Note_on_c, 0, 52, 112
1, 1920, Note_off_c, 0, 57, 64
1, 1920, Note_off_c, 0, 64, 64
1, 1920, Note_off_c, 0, 72, 64
1, 1920, Note_on_c, 0, 79, 106
1, 2016, Note_on_c, 0, 55, 112
1, 2112, Note_on_c, 0, 59, 112
1, 2112, Note_on_c, 0, 72, 106
1, 2112, Note_off_c, 0, 79, 64
1, 2208, Note_off_c, 0, 55, 64
1, 2304, Note_off_c, 0, 40, 64
1, 2304, Note_on_c, 0, 41, 112
1, 2304, Note_off_c, 0, 52, 64
1, 2304, Note_on_c, 0, 53, 112
1, 2304, Note_off_c, 0, 59, 64
1, 2304, Note_off_c, 0, 72, 64
1, 2304, Note_on_c, 0, 79, 106
1, 2400, Note_on_c, 0, 57, 112
1, 2496, Note_on_c, 0, 60, 112
1, 2496, Note_on_c, 0, 72, 106
1, 2496, Note_off_c, 0, 79, 64
1, 2592, Note_off_c, 0, 57, 64
1, 2687, Note_off_c, 0, 53, 64
1, 2688, Note_on_c, 0, 53, 112
1, 2688, Note_off_c, 0, 60, 64
1, 2688, Note_on_c, 0, 64, 106
1, 2688, Note_off_c, 0, 72, 64
1, 2688, Note_on_c, 0, 79, 106
1, 2784, Note_on_c, 0, 57, 112
1, 2880, Note_on_c, 0, 60, 112
1, 2880, Note_off_c, 0, 64, 64
